Time	Price
2024-12-17 02:43:09	4.79
2024-12-17 03:00:09	4.77
2024-12-17 04:00:08	4.7
2024-12-17 05:00:09	4.69
2024-12-17 06:00:09	4.68
2024-12-17 07:00:08	4.66
2024-12-17 08:00:09	4.62
2024-12-17 09:00:09	4.59
2024-12-17 10:00:08	4.63
2024-12-17 11:00:09	4.64
2024-12-17 12:00:08	4.66
2024-12-17 13:00:08	4.66
2024-12-17 14:00:07	4.72
2024-12-17 18:00:06	4.76
2024-12-17 19:00:10	4.75
2024-12-17 20:00:07	4.74
2024-12-17 21:00:06	4.83
2024-12-17 22:00:09	4.8
2024-12-17 23:00:08	4.82
2024-12-18 00:00:09	4.73
2024-12-18 01:00:07	4.67
2024-12-18 02:00:09	4.68
2024-12-18 03:00:11	4.64
2024-12-18 04:00:09	4.64
2024-12-18 05:00:11	4.69
2024-12-18 06:00:08	4.65
2024-12-18 07:00:07	4.6
2024-12-18 08:00:09	4.64
2024-12-18 09:00:07	4.61
2024-12-18 10:00:06	4.59
2024-12-18 11:00:07	4.57
2024-12-18 12:00:08	4.51
2024-12-18 13:00:07	4.47
2024-12-18 14:00:07	4.52
2024-12-18 15:00:07	4.47
2024-12-18 16:00:09	4.51
2024-12-18 17:00:07	4.49
2024-12-18 18:00:07	4.54
2024-12-18 19:00:08	4.53
2024-12-18 20:00:11	4.54
2024-12-18 21:00:11	4.51
2024-12-18 22:00:10	4.53
2024-12-18 23:00:08	4.59
2024-12-19 00:00:11	4.56
2024-12-19 01:00:08	4.59
2024-12-19 02:00:07	4.71
2024-12-19 03:00:09	4.7
2024-12-19 04:00:10	4.58
2024-12-19 05:00:10	4.43
2024-12-19 06:00:08	4.42
2024-12-19 07:00:09	4.37
2024-12-19 08:00:08	4.34
2024-12-19 09:00:09	4.39
2024-12-19 10:00:07	4.32
2024-12-19 11:00:08	4.19
2024-12-19 12:00:07	4.36
2024-12-19 13:00:06	4.37
2024-12-19 14:00:09	4.4
2024-12-19 16:02:03	4.38
2024-12-19 18:00:10	4.34
2024-12-19 19:00:09	4.45
2024-12-19 20:00:08	4.56
