Time	Price
2024-12-17 02:43:06	29.82
2024-12-17 03:00:05	29.98
2024-12-17 04:00:05	29.62
2024-12-17 05:00:05	29.63
2024-12-17 06:00:05	29.1
2024-12-17 07:00:06	29.12
2024-12-17 08:00:05	28.78
2024-12-17 09:00:04	28.54
2024-12-17 10:00:04	28.6
2024-12-17 11:00:06	28.58
2024-12-17 12:00:06	28.81
2024-12-17 13:00:04	28.36
2024-12-17 14:00:04	28.45
2024-12-17 18:00:03	28.63
2024-12-17 19:00:07	28.45
2024-12-17 20:00:04	28.31
2024-12-17 21:00:04	28.31
2024-12-17 22:00:05	28.48
2024-12-17 23:00:05	28.13
2024-12-18 00:00:07	27.58
2024-12-18 01:00:04	27.91
2024-12-18 02:00:06	28.09
2024-12-18 03:00:07	27.75
2024-12-18 04:00:06	27.78
2024-12-18 05:00:07	28.1
2024-12-18 06:00:05	28.2
2024-12-18 07:00:05	27.8
2024-12-18 08:00:05	27.87
2024-12-18 09:00:04	27.89
2024-12-18 10:00:04	28.08
2024-12-18 11:00:04	28.06
2024-12-18 12:00:06	27.64
2024-12-18 13:00:05	26.9
2024-12-18 14:00:05	27.44
2024-12-18 15:00:04	27.04
2024-12-18 16:00:06	27.24
2024-12-18 17:00:05	27
2024-12-18 18:00:04	27.35
2024-12-18 19:00:06	27.4
2024-12-18 20:00:08	27.75
2024-12-18 21:00:08	27.1
2024-12-18 22:00:07	27.05
2024-12-18 23:00:05	27.12
2024-12-19 00:00:07	27.14
2024-12-19 01:00:04	27.35
2024-12-19 02:00:05	27.71
2024-12-19 03:00:05	27.62
2024-12-19 04:00:08	26.85
2024-12-19 05:00:06	25.8
2024-12-19 06:00:05	25.64
2024-12-19 07:00:05	25.58
2024-12-19 08:00:05	24.84
2024-12-19 09:00:05	25.04
2024-12-19 10:00:04	24.7
2024-12-19 11:00:05	24.34
2024-12-19 12:00:04	24.8
2024-12-19 13:00:03	24.65
2024-12-19 14:00:07	24.66
2024-12-19 16:01:59	24.86
2024-12-19 18:00:07	24.88
2024-12-19 19:00:06	25.41
2024-12-19 20:00:06	25.45
