Time	Price
2024-12-17 02:43:01	107554.59
2024-12-17 03:00:01	107159.75
2024-12-17 04:00:01	106599.16
2024-12-17 05:00:01	105985.17
2024-12-17 06:00:02	106155.43
2024-12-17 07:00:01	105767.98
2024-12-17 08:00:02	105984.74
2024-12-17 09:00:01	105969.88
2024-12-17 10:00:01	106380.57
2024-12-17 11:00:01	106265.64
2024-12-17 12:00:01	106800.14
2024-12-17 13:00:01	106526.31
2024-12-17 14:00:01	106751.27
2024-12-17 15:00:00	106549.99
2024-12-17 16:00:00	106805.75
2024-12-17 17:00:00	107406.61
2024-12-17 18:00:01	107236.14
2024-12-17 19:00:00	107209.67
2024-12-17 20:00:01	106887.81
2024-12-17 21:00:00	107094.12
2024-12-17 22:00:01	107261.56
2024-12-17 23:00:01	108049.39
2024-12-18 00:00:04	106161.25
2024-12-18 01:00:01	106939.26
2024-12-18 02:00:02	107484.38
2024-12-18 03:00:01	106477.34
2024-12-18 04:00:01	106479.47
2024-12-18 05:00:02	106795.13
2024-12-18 06:00:02	106356.77
2024-12-18 07:00:00	105972
2024-12-18 08:00:01	106102.92
2024-12-18 09:00:01	106072.19
2024-12-18 10:00:01	105276.02
2024-12-18 11:00:01	105335.08
2024-12-18 13:00:00	103709.76
2024-12-18 14:00:00	103448.01
2024-12-18 15:00:01	103690.15
2024-12-18 17:00:01	103752.36
2024-12-18 18:00:00	104027.71
2024-12-18 19:00:01	104531.16
2024-12-18 20:00:02	104920.69
2024-12-18 21:00:02	104711.75
2024-12-18 23:00:01	104109.88
2024-12-19 00:00:01	104435.36
2024-12-19 01:00:01	104199.23
2024-12-19 02:00:01	104616.06
2024-12-19 03:00:01	104469.84
2024-12-19 04:00:02	103312.54
2024-12-19 05:00:02	101732.37
2024-12-19 06:00:01	101178.67
2024-12-19 07:00:01	101100.71
2024-12-19 08:00:01	100104.47
2024-12-19 09:00:02	100692.57
2024-12-19 10:00:01	100003.83
2024-12-19 12:00:01	101154.31
2024-12-19 13:00:01	100718.62
2024-12-19 14:00:01	101250.19
2024-12-19 16:01:56	101666.04
2024-12-19 18:00:02	101764.44
2024-12-19 19:00:01	102480.15
2024-12-19 20:00:01	102371.49
